,name,mana_cost,cmc,edhrec_rank
23173,Triton Shorethief,{U},1.0,19397.0
23174,Join the Dance,{G}{W},2.0,6855.0
23175,Incinerate,{1}{R},2.0,9067.0
23176,Root Spider,{3}{G},4.0,21085.0
23177,"Domri, City Smasher",{4}{R}{G},6.0,15090.0
23178,Courier Bat,{2}{B},3.0,13686.0
23179,Dream Halls,{3}{U}{U},5.0,7696.0
23180,Sarkhan Vol,{2}{R}{G},4.0,8638.0
23181,Ashen Powder,{2}{B}{B},4.0,13007.0
23182,Prismatic Omen,{1}{G},2.0,4066.0
23183,Skyclave Apparition,{1}{W}{W},3.0,1060.0
23184,Glass Casket,{1}{W},2.0,10949.0
23185,Shu Cavalry,{2}{W},3.0,18675.0
23186,Mark of Eviction,{U},1.0,16179.0
23187,Foothill Guide,{W},1.0,23063.0
23188,Gaea's Protector,{3}{G},4.0,19622.0
23189,Menagerie Liberator,{3}{G},4.0,22410.0
23190,Arcane Encyclopedia,{3},3.0,6761.0
23191,Guardian Augmenter,{2}{G},3.0,2070.0
23192,"Shadowheart, Cleric of Trickery",{1}{U}{B},3.0,
23193,Victim of Night,{B}{B},2.0,4844.0
23194,Slayer of the Wicked,{3}{W},4.0,21765.0
23195,Jasmine Seer,{3}{W},4.0,22609.0
23196,Cruel Tutor,{2}{B},3.0,6577.0
23197,Ember Gale,{3}{R},4.0,21065.0
23198,Bonds of Mortality,{1}{G},2.0,6183.0
23199,Geyserfield Stalker,{4}{B},5.0,19454.0
23200,Priest of Gix,{2}{B},3.0,5808.0
23201,Bind to Secrecy,{U}{B},2.0,
23202,Dragonstalker,{4}{W},5.0,21933.0
23203,Goliath Truck,{4},4.0,16465.0
23204,Gloryscale Viashino,{1}{R}{G}{W},4.0,16200.0
23205,Aven Mindcensor,{2}{W},3.0,369.0
23206,Molten Influence,{1}{R},2.0,14985.0
23207,Pendant of Prosperity,{3},3.0,2926.0
23208,Dream Tides,{2}{U}{U},4.0,10720.0
23209,Centaur of Attention,{3}{G}{G},5.0,16593.0
23210,Gate to Tumbledown,,0.0,
23211,Havoc,{1}{R},2.0,21745.0
23212,A-High-Rise Sawjack,{2}{G},3.0,
23213,Howling Wolf,{2}{G}{G},4.0,22791.0
23214,False Memories,{1}{U},2.0,19137.0
23215,Phantom Carriage,{4}{U}{U},6.0,16443.0
23216,Prohibit,{1}{U},2.0,12352.0
23217,Lunar Frenzy,{X}{R},1.0,6630.0
23218,Shape the Sands,{G},1.0,15312.0
23219,Bortuk Bonerattle,{4}{B}{G},6.0,15739.0
23220,Mass Mutiny,{3}{R}{R},5.0,4747.0
23221,Open into Wonder,{X}{U}{U},2.0,2761.0
23222,Wildcall,{X}{G}{G},2.0,17131.0
23223,Parasitic Grasp,{1}{B},2.0,15256.0
23224,Thoughtrender Lamia,{4}{B}{B},6.0,5863.0
23225,A-Demon's Due,{3}{B},4.0,
23226,Hour of Glory,{3}{B},4.0,14501.0
23227,Akroan Crusader,{R},1.0,6262.0
23228,Sproutback Trudge,{7}{G}{G},9.0,6196.0
23229,"Zariel, Archduke of Avernus Emblem",,0.0,
23230,Skeletal Wurm,{7}{B},8.0,14989.0
23231,Kitsune Loreweaver,{1}{W},2.0,17368.0
23232,Cascading Cataracts,,0.0,1272.0
23233,Rushwood Elemental,{G}{G}{G}{G}{G},5.0,19178.0
23234,"Lulu, Loyal Hollyphant",{3}{W},4.0,8701.0
23235,Tolarian Drake,{2}{U},3.0,22939.0
23236,Fire-Lit Thicket,,0.0,1156.0
23237,Asmoranomardicadaistinaculdacar // Asmoranomardicadaistinaculdacar,,0.0,
23238,Rushing-Tide Zubera,{2}{U}{U},4.0,20953.0
23239,Moonsilver Spear,{4},4.0,3256.0
23240,Deepwood Ghoul,{2}{B},3.0,16575.0
23241,Orcish Conscripts,{R},1.0,22982.0
23242,Fleetfoot Panther,{1}{G}{W},3.0,8547.0
23243,Goblin Ruinblaster,{2}{R},3.0,10063.0
23244,Reckless Racer,{2}{R},3.0,14866.0
23245,Duel for Dominance // Duel for Dominance,,0.0,
23246,Krosan Verge,,0.0,360.0
23247,Elemental Bond,{2}{G},3.0,438.0
23248,Steelshaper's Gift,{W},1.0,1615.0
23249,Unbounded Potential,{1}{W},2.0,6966.0
23250,It Came from Planet Glurg,{X}{X}{G}{U},2.0,22501.0
23251,Hellkite Tyrant,{4}{R}{R},6.0,509.0
23252,Sky Ruin Drake,{4}{U},5.0,23683.0
23253,Unmake the Graves,{4}{B},5.0,16277.0
23254,Warren Weirding,{1}{B},2.0,13961.0
23255,Orb of Dragonkind,{1}{R},2.0,2343.0
23256,Kessig Wolfrider,{R},1.0,14012.0
23257,Taigam's Scheming,{1}{U},2.0,9712.0
23258,Brokers Confluence,{2}{G}{W}{U},5.0,6953.0
23259,"Kediss, Emberclaw Familiar",{1}{R},2.0,1133.0
23260,Viashino Bey,{2}{R}{R},4.0,23162.0
23261,Tyrant's Machine,{2},2.0,19155.0
23262,Searing Flesh,{6}{R},7.0,22012.0
23263,Curious Killbot,{2},2.0,
23264,Rise of the Ants,{4}{G}{G},6.0,15871.0
23265,Elemental Uprising,{1}{G},2.0,17339.0
23266,Gideon's Defeat,{W},1.0,18773.0
23267,Aphetto Grifter,{2}{U},3.0,16629.0
23268,Ogre Marauder,{1}{B}{B},3.0,18070.0
23269,Champion of the Flame,{1}{R},2.0,5229.0
23270,Sinister Reflections,{1}{U},2.0,
23271,Makeshift Mannequin,{3}{B},4.0,11027.0
23272,Tranquil Garden,,0.0,15518.0
23273,Gigantiform,{3}{G}{G},5.0,15466.0
23274,Organic Extinction,{8}{W}{W},10.0,2929.0
23275,Wedding Invitation,{2},2.0,7436.0
23276,Sly Spy,{2}{B},3.0,
23277,Aetherwind Basker,{4}{G}{G}{G},7.0,10623.0
23278,Barrel Down Sokenzan,{2}{R},3.0,15798.0
23279,Midnight Arsonist,{3}{R},4.0,6881.0
23280,"Calix, Destiny's Hand",{2}{G}{W},4.0,2490.0
23281,Zof Consumption // Zof Bloodbog,,6.0,6326.0
23282,Meteor Golem,{7},7.0,516.0
23283,Bump in the Night,{B},1.0,18892.0
23284,Aven Reedstalker,{3}{U},4.0,20326.0
23285,Dovescape,{3}{W/U}{W/U}{W/U},6.0,7318.0
23286,Calibrated Blast,{2}{R},3.0,12545.0
23287,Separatist Voidmage,{3}{U},4.0,15180.0
23288,"Lorthos, the Tidemaker",{5}{U}{U}{U},8.0,5079.0
23289,"Wilson, Urbane Bear",{1}{G}{W},3.0,
23290,Thundering Djinn,{3}{U}{R},5.0,13310.0
23291,Kragma Warcaller,{3}{B}{R},5.0,9457.0
23292,Armistice,{2}{W},3.0,15579.0
23293,Rug of Smothering,{3},3.0,8835.0
23294,Spider Spawning,{4}{G},5.0,5879.0
23295,Captured by the Consulate,{3}{W},4.0,13430.0
23296,Evil Twin,{2}{U}{B},4.0,3294.0
23297,Fourth Bridge Prowler,{B},1.0,8767.0
23298,Fly,{U},1.0,6110.0
23299,Torpor Dust,{2}{U/B},3.0,22885.0
23300,Mire in Misery,{1}{B},2.0,3516.0
23301,Unhallowed Pact,{2}{B},3.0,9543.0
23302,Thought Prison,{5},5.0,16388.0
23303,Dirty Rat,{1}{B},2.0,
23304,"Astor, Bearer of Blades // Astor, Bearer of Blades",,0.0,
23305,Dread Specter,{3}{B},4.0,22347.0
23306,The Peregrine Dynamo,{3},3.0,6620.0
23307,Once More with Feeling,{W}{W}{W}{W},4.0,
23308,Screeching Drake,{3}{U},4.0,23460.0
23309,Plundering Barbarian,{2}{R},3.0,3164.0
23310,Pyramids,{6},6.0,21799.0
23311,Baldur's Gate,,0.0,3039.0
23312,Elsha of the Infinite,{2}{U}{R}{W},5.0,3274.0
23313,Spiritual Focus,{1}{W},2.0,20108.0
23314,Talas Explorer,{1}{U},2.0,14294.0
23315,Magmasaur,{3}{R}{R},5.0,17609.0
23316,Stitcher Geralf,{3}{U}{U},5.0,5817.0
23317,Dancing Sword,{1}{W},2.0,12343.0
23318,"Kagemaro, First to Suffer",{3}{B}{B},5.0,10531.0
23319,"Emry, Lurker of the Loch",{2}{U},3.0,885.0
23320,Mad Science Fair Project,{3},3.0,
23321,Nath's Buffoon,{1}{B},2.0,23257.0
23322,Suspicious Stowaway // Seafaring Werewolf,,2.0,7811.0
23323,Master Transmuter,{3}{U},4.0,2158.0
23324,Dramatic Reversal,{1}{U},2.0,332.0
23325,Oath of Scholars,{3}{U},4.0,16191.0
23326,Aleatory,{1}{R},2.0,11586.0
23327,Grizzled Wolverine,{1}{R}{R},3.0,23853.0
23328,Sabertooth Mauler,{3}{G},4.0,13674.0
23329,Spellbinder,{3},3.0,10763.0
23330,Vona's Hunger,{2}{B},3.0,2198.0
23331,Svend Geertsen Decklist,,0.0,
23332,Elvish Warrior,{G}{G},2.0,10683.0
23333,"Elbrus, the Binding Blade // Withengar Unbound",,7.0,6121.0
23334,Stony Strength,{G},1.0,8422.0
23335,Arrogant Poet // Arrogant Poet,,0.0,
23336,Molten Vortex,{R},1.0,14371.0
23337,Vampire Bats,{B},1.0,19508.0
23338,Demon's Jester,{3}{B},4.0,21686.0
23339,Trained Orgg,{6}{R},7.0,23473.0
23340,Ancestral Statue,{4},4.0,4334.0
23341,Pitchstone Wall,{2}{R},3.0,19388.0
23342,Vitu-Ghazi Guildmage,{G}{W},2.0,6242.0
23343,"Jetmir, Nexus of Revels",{1}{R}{G}{W},4.0,2462.0
23344,A-Dragonborn Looter,{U},1.0,
23345,Phyrexian Slayer,{3}{B},4.0,21468.0
23346,Barrage of Expendables,{R},1.0,9180.0
23347,Rivalry,{2}{R},3.0,17166.0
23348,Prosperous Innkeeper,{1}{G},2.0,1473.0
23349,Oversoul of Dusk,{G/W}{G/W}{G/W}{G/W}{G/W},5.0,14531.0
23350,Nafs Asp,{G},1.0,19797.0
23351,A-Elven Bow,{G},1.0,
23352,Caller of the Untamed,{3}{G},4.0,23549.0
23353,Ephara's Enlightenment,{1}{W}{U},3.0,15301.0
23354,Graveyard Shift,{4}{B},5.0,12561.0
23355,Flames of the Raze-Boar,{5}{R},6.0,17005.0
23356,Vulshok Replica,{3},3.0,22586.0
23357,Inkshield,{3}{W}{B},5.0,1313.0
23358,Electrify,{3}{R},4.0,18319.0
23359,Coastline Chimera,{3}{U},4.0,22093.0
23360,Bloodtallow Candle,{1},1.0,19421.0
23361,Skyclave Cleric // Skyclave Basilica,,2.0,6598.0
23362,Daraja Griffin,{3}{W},4.0,16659.0
23363,Bane's Invoker,{1}{W},2.0,19911.0
23364,Kaervek's Purge,{X}{B}{R},2.0,19661.0
23365,Detonate,{X}{R},1.0,16791.0
23366,Eternal Warrior,{R},1.0,15101.0
23367,Marsh Flats,,0.0,44.0
23368,Walking Desecration,{2}{B},3.0,20825.0
23369,Palace Familiar,{1}{U},2.0,12995.0
23370,Marionette Master,{4}{B}{B},6.0,790.0
23371,Dispersing Orb,{3}{U}{U},5.0,16681.0
23372,Tanglepool Bridge // Tanglepool Bridge,,0.0,
23373,Lairwatch Giant,{5}{W},6.0,20165.0
23374,Obscura Interceptor // Obscura Interceptor,,0.0,
23375,Demonmail Hauberk,{4},4.0,10217.0
23376,Elf Warrior,,0.0,
23377,Kashi-Tribe Elite,{1}{G}{G},3.0,11219.0
23378,Geralf's Masterpiece,{3}{U}{U},5.0,14280.0
23379,Singing Bell Strike,{1}{U},2.0,17228.0
23380,Artillery Blast,{1}{W},2.0,20050.0
23381,Fin-Clade Fugitives,{5}{G},6.0,12507.0
23382,Merrow Bonegnawer,{B},1.0,17125.0
23383,Trained Cheetah,{2}{G},3.0,23689.0
23384,Ingenious Mastery,{X}{2}{U},3.0,7190.0
23385,Sky-Blessed Samurai,{6}{W},7.0,10274.0
23386,Stinkdrinker Bandit,{3}{B},4.0,4333.0
23387,Ensnaring Bridge,{3},3.0,4036.0
23388,Thornbite Staff,{2},2.0,1766.0
23389,Herald of Dromoka,{1}{W},2.0,8034.0
23390,Loyal Drake,{2}{U},3.0,3354.0
23391,Gideon's Triumph,{1}{W},2.0,14778.0
23392,Chemister's Trick,{U}{R},2.0,19684.0
23393,Axe of the Warmonger,,0.0,
23394,"Skithiryx, the Blight Dragon",{3}{B}{B},5.0,2388.0
23395,The Flesh Is Weak,{2}{W}{U}{B},5.0,14306.0
23396,Monastery Swiftspear,{R},1.0,7471.0
23397,Teferi's Moat,{3}{W}{U},5.0,10988.0
23398,Wretched Banquet,{B},1.0,22652.0
23399,Pestilence,{2}{B}{B},4.0,3511.0
23400,Paradox Haze,{2}{U},3.0,1537.0
23401,Guildscorn Ward,{W},1.0,12548.0
23402,Dragonlord Atarka,{5}{R}{G},7.0,4536.0
23403,Scorching Winds,{R},1.0,22128.0
23404,Sunrise Seeker,{4}{W},5.0,21213.0
23405,Inquisitor Eisenhorn,{2}{U}{B},4.0,12455.0
23406,Scab-Clan Mauler,{R}{G},2.0,19774.0
23407,Nova Pentacle,{4},4.0,21893.0
23408,Dwarven Nomad,{2}{R},3.0,9787.0
23409,Lazotep Behemoth,{4}{B},5.0,19793.0
23410,Blighted Steppe,,0.0,6300.0
23411,Captured by Lagacs,{1}{G}{W},3.0,11592.0
23412,Endbringer,{5}{C},6.0,2238.0
23413,Ceremonial Knife,{1},1.0,8679.0
23414,Necrogen Mists,{2}{B},3.0,4390.0
23415,Dehydration,{3}{U},4.0,21063.0
23416,Rakshasa Debaser,{4}{B}{B},6.0,2402.0
23417,Dreampod Druid,{1}{G},2.0,14711.0
23418,Auriok Salvagers,{3}{W},4.0,5820.0
23419,Urza's Rebuff,{1}{U}{U},3.0,
23420,Ebon Drake,{2}{B},3.0,8490.0
23421,Misfortune Teller // Misfortune Teller,,0.0,
23422,Suq'Ata Assassin,{1}{B}{B},3.0,13551.0
23423,Mage Slayer,{1}{R}{G},3.0,3149.0
23424,Spinehorn Minotaur,{2}{R},3.0,17255.0
23425,Migration Path,{3}{G},4.0,612.0
23426,Naya Battlemage,{2}{G},3.0,21336.0
23427,Bramble Wurm,{6}{G},7.0,10279.0
23428,Ancestral Mask,{2}{G},3.0,1622.0
23429,Spirit Shield,{3},3.0,23312.0
23430,Honor the Fallen,{1}{W},2.0,15234.0
23431,Call to the Grave,{4}{B},5.0,6268.0
23432,Reins of the Vinesteed,{3}{G},4.0,14085.0
23433,"Urborg, Tomb of Yawgmoth",,0.0,51.0
23434,Twilight Mire,,0.0,717.0
23435,Honored Hydra,{5}{G},6.0,10590.0
23436,Declare Dominance,{3}{G}{G},5.0,14363.0
23437,Animating Faerie // Bring to Life,{2}{U} // {2}{U},3.0,23877.0
23438,Hidden Horror,{1}{B}{B},3.0,20484.0
23439,Prismatic Vista // Prismatic Vista,,0.0,
23440,Granite Shard,{3},3.0,19376.0
23441,Defiant Ogre,{5}{R},6.0,19518.0
23442,Giant Strength,{R}{R},2.0,18382.0
23443,Baleful Beholder // Baleful Beholder,,0.0,
23444,Sheltered Thicket,,0.0,1123.0
23445,Regicide,{B},1.0,23725.0
23446,Aphotic Wisps,{B},1.0,7383.0
23447,Crown of Skemfar,{2}{G}{G},4.0,4088.0
23448,Endemic Plague,{3}{B},4.0,19761.0
23449,Impaler Shrike,{2}{U}{U},4.0,10380.0
23450,Snake,,0.0,
23451,Invasion Plans,{2}{R},3.0,10529.0
23452,"Path of Mettle // Metzali, Tower of Triumph",,2.0,9014.0
23453,Amulet of Vigor,{1},1.0,1714.0
23454,Loxodon Warhammer,{3},3.0,582.0
23455,Tolarian Academy,,0.0,
23456,Golgari Locket,{3},3.0,6526.0
23457,Bearer of Memory // Bearer of Memory,,0.0,
23458,Riparian Tiger,{3}{G}{G},5.0,18181.0
23459,Marwyn's Kindred,{X}{2}{G}{G},4.0,
23460,Ethereal Armor,{W},1.0,1093.0
23461,Specter's Shroud,{2},2.0,13883.0
23462,Ghoulsteed,{4}{B},5.0,17492.0
23463,"Linden, the Steadfast Queen",{W}{W}{W},3.0,5185.0
23464,Oswald Fiddlebender,{1}{W},2.0,1605.0
23465,Mindmelter,{1}{U}{B},3.0,13997.0
23466,Vampiric Spirit,{2}{B}{B},4.0,23106.0
23467,Fangblade Brigand // Fangblade Eviscerator,,4.0,8320.0
23468,Time Warp,{3}{U}{U},5.0,956.0
23469,Stronghold Zeppelin,{2}{U}{U},4.0,23832.0
23470,Inkwell Leviathan,{7}{U}{U},9.0,2946.0
23471,Reclusive Wight,{3}{B},4.0,23526.0
23472,Wild Aesthir,{2}{W},3.0,23109.0
23473,Inkfathom Divers,{3}{U}{U},5.0,17414.0
23474,Sudden Disappearance,{5}{W},6.0,13174.0
23475,Gore-House Chainwalker,{1}{R},2.0,17643.0
23476,Transmute Artifact,{U}{U},2.0,3667.0
23477,Drifter il-Dal,{U},1.0,17743.0
23478,Omen Machine,{6},6.0,6016.0
23479,"Vorinclex, Voice of Hunger",{6}{G}{G},8.0,1361.0
23480,Enraged Giant,{5}{R},6.0,20393.0
23481,Fire Servant,{3}{R}{R},5.0,5206.0
23482,Canyon Wildcat,{1}{R},2.0,18766.0
23483,Wand of Vertebrae,{1},1.0,7812.0
23484,Defy Death,{3}{W}{W},5.0,7150.0
23485,Bolrac-Clan Crusher,{3}{R}{G},5.0,19587.0
23486,Greater Good,{2}{G}{G},4.0,500.0
23487,Evangel of Synthesis,{U}{B},2.0,
23488,Steadfast Armasaur,{3}{W},4.0,17171.0
23489,Creeping Chill,{3}{B},4.0,14945.0
23490,Iron Will,{W},1.0,19380.0
23491,Life Burst,{1}{W},2.0,23254.0
23492,Baneful Omen,{4}{B}{B}{B},7.0,8128.0
23493,Stolen Grain,{4}{B}{B},6.0,23636.0
23494,A-Pyre-Sledge Arsonist,{2}{R},3.0,
23495,Relentless Assault,{2}{R}{R},4.0,909.0
23496,Defiant Falcon,{1}{W},2.0,13808.0
23497,Keimi,,0.0,
23498,A-Ardent Dustspeaker,{2}{R},3.0,
23499,Custodi Soulcaller,{1}{W}{W},3.0,11811.0
23500,Vampire Lacerator,{B},1.0,13066.0
23501,Trench Behemoth,{5}{U}{U},7.0,4336.0
23502,Moltensteel Dragon,{4}{R/P}{R/P},6.0,6589.0
23503,Power Leak,{1}{U},2.0,20619.0
23504,Shipwreck Dowser,{3}{U}{U},5.0,4463.0
23505,Obscura Storefront,,0.0,2041.0
23506,"Lynde, Cheerful Tormentor",{1}{U}{B}{R},4.0,6502.0
23507,Erebos's Emissary,{3}{B},4.0,16844.0
23508,Black Mana Battery,{4},4.0,17786.0
23509,Hidden Ancients,{1}{G},2.0,18638.0
23510,Hand of Death,{2}{B},3.0,19989.0
23511,Necromancer's Stockpile,{1}{B},2.0,9424.0
23512,Boomerang,{U}{U},2.0,5994.0
23513,Unquenchable Fury // Unquenchable Fury,,0.0,
23514,Spirit,,0.0,
23515,Paladin's Shield,{1}{W},2.0,13187.0
23516,Temple of Malady,,0.0,320.0
23517,Lightning Surge,{3}{R}{R},5.0,20399.0
23518,Tribute to Hunger,{2}{B},3.0,10887.0
23519,Mortician Beetle,{B},1.0,6851.0
23520,Seer of the Last Tomorrow,{2}{U},3.0,19307.0
23521,Swirling Sandstorm,{3}{R},4.0,17528.0
23522,Deflecting Palm,{R}{W},2.0,1472.0
23523,Grand Crescendo,{X}{W}{W},2.0,2725.0
23524,Narcomoeba,{1}{U},2.0,8806.0
23525,Inhumaniac,{1}{B},2.0,
23526,Dauntless Unity,{1}{W},2.0,17084.0
23527,Curse of Shallow Graves,{2}{B},3.0,6097.0
23528,High Tide,{U},1.0,888.0
23529,Hedron Matrix,{4},4.0,8470.0
23530,Coalition Skyknight,{3}{W},4.0,20742.0
23531,Dark Supplicant,{B},1.0,14468.0
23532,Hardy of Myra's Marvels,{2}{G}{G},4.0,23926.0
23533,Warchanter Skald,{2}{W},3.0,14165.0
23534,Arrogant Wurm,{3}{G}{G},5.0,17740.0
23535,Sindbad,{1}{U},2.0,18622.0
23536,Engineered Plague,{2}{B},3.0,12618.0
23537,Ticketomaton,{3},3.0,19847.0
23538,Silhana Wayfinder,{1}{G},2.0,12184.0
23539,Emergent Sequence,{1}{G},2.0,6314.0
23540,Natural Connection,{2}{G},3.0,5619.0
23541,Reflexes,{R},1.0,19177.0
23542,Problematic Volcano,{1}{R}{R},3.0,
23543,Fallaji Dragon Engine,{8},8.0,
23544,Smuggler Captain,{3}{B},4.0,23784.0
23545,Oath of Jace,{2}{U},3.0,5344.0
23546,Laboratory Brute,{3}{U},4.0,16772.0
23547,Shattering Blow,{1}{R/W},2.0,10652.0
23548,Flooded Grove,,0.0,662.0
23549,Liquify,{2}{U},3.0,21290.0
23550,Innocence Kami,{3}{W}{W},5.0,20754.0
23551,Mortal Combat,{2}{B}{B},4.0,8261.0
23552,"Mine, Mine, Mine!",{4}{G}{G},6.0,
23553,Blackblade Reforged,{2},2.0,244.0
23554,Hallowed Burial,{3}{W}{W},5.0,7301.0
23555,Ebony Owl Netsuke,{2},2.0,10508.0
23556,Steward of Solidarity,{1}{W},2.0,16007.0
23557,Gift of Orzhova,{1}{W/B}{W/B},3.0,11057.0
23558,Canopy Vista,,0.0,147.0
23559,The Most Dangerous Gamer,{2}{B}{G},4.0,15949.0
23560,Solitude,{3}{W}{W},5.0,2249.0
23561,"Eladamri, Lord of Leaves",{G}{G},2.0,6156.0
23562,Druid Class,{1}{G},2.0,1234.0
23563,Taj-Nar Swordsmith,{3}{W},4.0,6796.0
23564,Zhur-Taa Swine,{3}{R}{G},5.0,15329.0
23565,Lady Sun,{1}{U}{U},3.0,20945.0
23566,Aspect of Mongoose,{1}{G},2.0,5174.0
23567,Conqueror's Pledge,{2}{W}{W}{W},5.0,10425.0
23568,Ravenous Leucrocota,{3}{G},4.0,22322.0
23569,Cylian Sunsinger,{1}{G},2.0,23648.0
23570,Blunt the Assault,{3}{G},4.0,9482.0
23571,Primal Clay,{4},4.0,17126.0
23572,Wolfir Silverheart,{3}{G}{G},5.0,7047.0
23573,Ruthless Disposal,{4}{B},5.0,17188.0
23574,"Piru, the Volatile",{2}{R}{R}{W}{W}{B}{B},8.0,4620.0
23575,Binding Agony,{1}{B},2.0,18397.0
23576,Murmuring Mystic,{3}{U},4.0,1094.0
23577,Ashnod the Uncaring,{2}{U}{B}{R},5.0,
23578,Harsh Mercy,{2}{W},3.0,8586.0
23579,"Eladamri, Lord of Leaves Avatar",,0.0,
23580,Skyreaping,{1}{G},2.0,16883.0
23581,Zephyr Sentinel,{1}{U},2.0,
23582,Blastfire Bolt,{5}{R},6.0,17811.0
23583,Buzz Buggy,,0.0,
23584,Aeronaut Admiral,{3}{W},4.0,4493.0
23585,Impale,{2}{B}{B},4.0,15586.0
23586,Sudden Spoiling,{1}{B}{B},3.0,1271.0
23587,Legion's Judgment,{2}{W},3.0,14480.0
23588,Scalding Cauldron,{1},1.0,18478.0
23589,Bloodmist Infiltrator,{2}{B},3.0,17741.0
23590,Cruel Bargain,{B}{B}{B},3.0,15215.0
23591,Djinn of the Fountain,{4}{U}{U},6.0,19618.0
23592,Volcanic Spray,{1}{R},2.0,12357.0
23593,Diabolic Revelation,{X}{3}{B}{B},5.0,6103.0
23594,Wail of the Nim,{2}{B},3.0,11144.0
23595,Jungle Barrier,{2}{G}{U},4.0,5999.0
23596,Villagers of Estwald // Howlpack of Estwald,,3.0,17550.0
23597,Lumbering Battlement,{4}{W},5.0,8724.0
23598,Angelic Rocket,{8},8.0,
23599,Sludge Crawler,{B},1.0,14542.0
23600,Scorched Rusalka,{R},1.0,15054.0
23601,"Rowan, Scholar of Sparks // Will, Scholar of Frost",,3.0,4157.0
23602,Spiderwig Boggart,{2}{B},3.0,22326.0
23603,Aethertow,{3}{W/U},4.0,20117.0
23604,Gaea's Skyfolk,{G}{U},2.0,17536.0
23605,Moldervine Cloak,{2}{G},3.0,13758.0
23606,"Klement, Nature Acolyte",{1}{G}{W},3.0,
23607,Fire Juggler,{2}{R},3.0,20694.0
23608,Princess Lucrezia,{3}{U}{U}{B},6.0,21845.0
23609,Obsidian Acolyte,{1}{W},2.0,19732.0
23610,Pulse of Llanowar,{3}{G},4.0,16978.0
23611,Orcish Hellraiser,{1}{R},2.0,18672.0
23612,Faerie Miscreant,{U},1.0,9982.0
23613,Saproling Infestation,{1}{G},2.0,15227.0
23614,Uktabi Wildcats,{4}{G},5.0,17330.0
23615,Master of the Wild Hunt,{2}{G}{G},4.0,6159.0
23616,Olivia Voldaren,{2}{B}{R},4.0,3862.0
23617,Tornado,{4}{G},5.0,19092.0
23618,Merciless Javelineer,{2}{B}{R},4.0,11774.0
23619,Xathrid Demon,{3}{B}{B}{B},6.0,12185.0
23620,Stoneshock Giant,{3}{R}{R},5.0,13894.0
23621,Tinder Wall,{G},1.0,3064.0
23622,See Red,{1}{R},2.0,18329.0
23623,Minotaur Skullcleaver,{2}{R},3.0,13672.0
23624,Flow of Ideas,{5}{U},6.0,7339.0
23625,Burdened Aerialist,{2}{U},3.0,9924.0
23626,A-Spara's Adjudicators,{2}{G}{W}{U},5.0,
23627,Faith's Shield,{W},1.0,8362.0
23628,Seeds of Strength,{G}{W},2.0,21902.0
23629,Blinkmoth Well,,0.0,9650.0
23630,Chimeric Coils,{1},1.0,20835.0
23631,March of Progress,{2}{U},3.0,
23632,Brainspoil,{3}{B}{B},5.0,8110.0
23633,Blizzard Elemental,{5}{U}{U},7.0,22436.0
23634,Infiltrator il-Kor,{4}{U},5.0,15343.0
23635,Retaliator Griffin,{1}{R}{G}{W},4.0,15945.0
23636,Thousand-Year Storm,{4}{U}{R},6.0,1286.0
23637,Hunding Gjornersen,{3}{W}{U}{U},6.0,22265.0
23638,Serendib Efreet,{2}{U},3.0,17438.0
23639,Snow-Covered Plains // Snow-Covered Plains,,0.0,
23640,Gift Shop,,0.0,
23641,Sokenzan Smelter,{1}{R},2.0,12451.0
23642,Adarkar Windform,{4}{U},5.0,18373.0
23643,Reap What Is Sown,{1}{G}{W},3.0,16004.0
23644,Spike Drone,{G},1.0,18440.0
23645,Manor Gate,,0.0,2374.0
23646,Accorder's Shield,{0},0.0,5475.0
23647,"Rowan, Scholar of Sparks Emblem",,0.0,
23648,Undead Leotau,{5}{B},6.0,23790.0
23649,Surging Dementia,{1}{B},2.0,23421.0
23650,Infernal Darkness,{2}{B}{B},4.0,10545.0
23651,Sporesower Thallid,{2}{G}{G},4.0,6062.0
23652,Perish,{2}{B},3.0,15544.0
23653,Dreamroot Cascade,,0.0,579.0
23654,Squid,,0.0,
23655,Mask of Immolation,{1}{R},2.0,11970.0
23656,Tezzeret's Simulacrum,{3},3.0,19126.0
23657,Midnight Banshee,{3}{B}{B}{B},6.0,6046.0
23658,Shared Discovery,{U},1.0,13639.0
23659,Godsend,{1}{W}{W},3.0,4618.0
23660,Revenge of Ravens,{3}{B},4.0,1501.0
23661,Abjure,{U},1.0,4220.0
23662,Rekindled Flame,{2}{R}{R},4.0,21249.0
23663,Crossbow Infantry,{1}{W},2.0,15095.0
23664,Maalfeld Twins,{5}{B},6.0,11654.0
23665,Wicked Guardian,{3}{B},4.0,18018.0
23666,Shipbreaker Kraken,{4}{U}{U},6.0,4033.0
23667,Dramatic Entrance,{3}{G}{G},5.0,14776.0
23668,Pop Quiz,{2}{U},3.0,15752.0
23669,Top-Secret Tunnel,,0.0,
23670,White Knight,{W}{W},2.0,11680.0
23671,Golden Urn,{1},1.0,15321.0
23672,Bloodflow Connoisseur,{2}{B},3.0,5131.0
23673,Tattoo Ward,{2}{W},3.0,21169.0
23674,Spirit Shackle,{B}{B},2.0,22020.0
23675,Krosan Vorine,{3}{G},4.0,17594.0
23676,Groundswell,{G},1.0,9917.0
23677,Hand of Cruelty,{B}{B},2.0,13462.0
23678,Formless Nurturing,{3}{G},4.0,20128.0
23679,Siege-Gang Commander,{3}{R}{R},5.0,1343.0
