,name,color_identity,type_line
22652,Finishing Move,['G'],Sorcery
22653,"Teneb, the Harvester","['B', 'G', 'W']",Legendary Creature — Dragon
22654,"Minn, Wily Illusionist",['U'],Legendary Creature — Gnome Wizard
22655,Coastal Drake,['U'],Creature — Drake
22656,Sphinx of the Final Word,['U'],Creature — Sphinx
22657,Slumbering Dragon,['R'],Creature — Dragon
22658,Island of Wak-Wak,[],Land
22659,Hailstorm Valkyrie,['B'],Snow Creature — Angel Wizard
22660,Mark of Asylum,['W'],Enchantment
22661,Expedition Champion,['R'],Creature — Human Warrior
22662,Ring of Kalonia,[],Artifact — Equipment
22663,Watcher of the Spheres,"['U', 'W']",Creature — Bird Wizard
22664,Eaten Alive,['B'],Sorcery
22665,Granny's Payback,['G'],Sorcery
22666,Blazing Rootwalla,['R'],Creature — Lizard
22667,Shinen of Stars' Light,['W'],Creature — Spirit
22668,Nantuko Calmer,['G'],Creature — Insect Druid
22669,Death Pit Offering,['B'],Enchantment
22670,Cat,['G'],Token Creature — Cat
22671,Wasteful Harvest,['G'],Instant
22672,Children of Korlis,['W'],Creature — Human Rebel Cleric
22673,"Ayula, Queen Among Bears // Ayula, Queen Among Bears",[],Card // Card
22674,Volrath,[],Vanguard
22675,Kavu Recluse,['R'],Creature — Kavu
22676,Feral Maaka,['R'],Creature — Cat
22677,Incendiary Command,['R'],Sorcery
22678,Benalish Trapper,['W'],Creature — Human Soldier
22679,Soulflayer,['B'],Creature — Demon
22680,"Breya, Etherium Shaper","['B', 'R', 'U', 'W']",Legendary Artifact Creature — Human
22681,Run Amok,['R'],Instant
22682,Nether Horror,['B'],Creature — Horror
22683,Khalni Hydra,['G'],Creature — Hydra
22684,Goblin Assault Team,['R'],Creature — Goblin Warrior
22685,Inspired Charge,['W'],Instant
22686,Nicolas Labarre Decklist,[],Card
22687,Goldnight Castigator,['R'],Creature — Angel
22688,Banewhip Punisher,['B'],Creature — Human Warrior
22689,"Ziatora, the Incinerator","['B', 'G', 'R']",Legendary Creature — Demon Dragon
22690,Battle Brawler,['B'],Creature — Orc Warrior
22691,Inspiring Leader,['W'],Legendary Enchantment — Background
22692,Wild Research,"['R', 'U', 'W']",Enchantment
22693,Terashi's Grasp,['W'],Sorcery — Arcane
22694,Choked Estuary,"['B', 'U']",Land
22695,Life // Death,"['B', 'G']",Sorcery // Sorcery
22696,Duct Crawler,['R'],Creature — Insect
22697,Syphon Soul,['B'],Sorcery
22698,Sage Owl,['U'],Creature — Bird
22699,Skyraker Giant,['R'],Creature — Giant
22700,Overcharged Amalgam,['U'],Creature — Zombie Horror
22701,Moonglove Winnower,['B'],Creature — Elf Rogue
22702,Parhelion Patrol,['W'],Creature — Human Knight
22703,Erhnam Djinn,['G'],Creature — Djinn
22704,Violent Impact,['R'],Sorcery
22705,Unburial Rites,"['B', 'W']",Sorcery
22706,Centaur Archer,"['G', 'R']",Creature — Centaur Archer
22707,Surrakar Banisher,['U'],Creature — Surrakar
22708,Garruk's Warsteed,['G'],Creature — Rhino
22709,"Nahiri, the Harbinger","['R', 'W']",Legendary Planeswalker — Nahiri
22710,Lurking Green Dragon // Lurking Green Dragon,[],Card // Card
22711,Ride the Avalanche,"['G', 'U']",Instant
22712,Prismatic Lace,['U'],Instant
22713,Mausoleum Turnkey,['B'],Creature — Ogre Rogue
22714,Laquatus's Creativity,['U'],Sorcery
22715,Hullbreaker Horror,['U'],Creature — Kraken Horror
22716,Friendly Fire,['R'],Instant
22717,Spell Crumple,['U'],Instant
22718,Renegade Firebrand,['R'],Creature — Human Warrior
22719,Planar Portal,[],Artifact
22720,Falter,['R'],Instant
22721,Mind's Dilation,['U'],Enchantment
22722,Rollicking Throng,[],Token Creature — Human Reveler
22723,Citystalker Connoisseur,['B'],Creature — Vampire
22724,Pressure Point,['W'],Instant
22725,Leaden Fists,['U'],Enchantment — Aura
22726,Eaten by Spiders,['G'],Instant
22727,Henge Walker,[],Artifact Creature — Golem
22728,Baneslayer Aspirant,['W'],Creature — Human Soldier
22729,Wind Spirit,['U'],Creature — Elemental Spirit
22730,Rescuer Sphinx,['U'],Creature — Sphinx
22731,Sagittars' Volley,['G'],Instant
22732,Haze Frog,['G'],Creature — Frog
22733,Rising Waters,['U'],Enchantment
22734,Aerial Maneuver,['W'],Instant
22735,Wren's Run Packmaster,['G'],Creature — Elf Warrior
22736,Githzerai Monk,['W'],Creature — Gith Monk
22737,"Aboshan, Cephalid Emperor",['U'],Legendary Creature — Cephalid Noble
22738,Icing Manipulator,['G'],Creature — Human Employee
22739,Cityscape Leveler,[],Artifact Creature — Construct
22740,Gavony Trapper,['W'],Creature — Human Soldier
22741,Culmination of Studies,"['R', 'U']",Sorcery
22742,Icy Prison,['U'],Enchantment
22743,Deep Gnome Terramancer,['W'],Creature — Gnome Wizard
22744,Bullwhip,[],Artifact
22745,Karoo,['W'],Land
22746,Child of Gaea,['G'],Creature — Elemental
22747,Clever Impersonator,['U'],Creature — Shapeshifter
22748,Selesnya Keyrune,"['G', 'W']",Artifact
22749,Commune with Nature,['G'],Sorcery
22750,Hellkite Charger,['R'],Creature — Dragon
22751,Barbarian General,['R'],Creature — Human Barbarian Soldier
22752,Non-Human Cannonball,['R'],Artifact Creature — Clown Robot
22753,Scab-Clan Berserker,['R'],Creature — Human Berserker
22754,Heroes of the Revel,['R'],Creature — Satyr Soldier
22755,Headless Rider,['B'],Creature — Zombie
22756,Fleetfeather Cockatrice,"['G', 'U']",Creature — Cockatrice
22757,A-Riveteers Initiate,"['B', 'G', 'R']",Creature — Viashino Citizen
22758,Universal Automaton,[],Artifact Creature — Shapeshifter
22759,Grizzled Huntmaster,['G'],Creature — Human Warrior
22760,Lightning Wolf,['R'],Creature — Wolf
22761,Magnetic Flux,['U'],Instant
22762,Silverflame Ritual,['W'],Sorcery
22763,Manta Ray,['U'],Creature — Fish
22764,Frenzy Sliver,['B'],Creature — Sliver
22765,Battle Sliver,['R'],Creature — Sliver
22766,Goblin Deathraiders,"['B', 'R']",Creature — Goblin Warrior
22767,Recruiter of the Guard,['W'],Creature — Human Soldier
22768,Tangle Mantis,['G'],Creature — Insect
22769,Arcane Infusion,"['R', 'U']",Instant
22770,Wild Leotau,['G'],Creature — Cat
22771,Braidwood Cup,[],Artifact
22772,Common Bond,"['G', 'W']",Instant
22773,Kris Mage,['R'],Creature — Human Spellshaper
22774,Militia Rallier,['W'],Creature — Human Soldier
22775,Patient Zero,['B'],Creature — Zombie
22776,Dolmen Gate,[],Artifact
22777,"Targ Nar, Demon-Fang Gnoll","['G', 'R']",Legendary Creature — Gnoll
22778,Lull,['G'],Instant
22779,Fireflux Squad,['R'],Creature — Human Soldier
22780,Lumengrid Augur,['U'],Creature — Vedalken Wizard
22781,Ghired's Belligerence,['R'],Sorcery
22782,Wrench-Rigger,['R'],Creature — Goblin Rigger
22783,Magus of the Jar,['U'],Creature — Human Wizard
22784,Fledgling Osprey,['U'],Creature — Bird
22785,Chitinous Cloak,[],Artifact — Equipment
22786,Noble Quarry,['G'],Enchantment Creature — Unicorn
22787,Maze Behemoth,['G'],Creature — Elemental
22788,Sejiri Shelter // Sejiri Glacier,['W'],Instant // Land
22789,Archon of Justice,['W'],Creature — Archon
22790,Burning-Rune Demon,['B'],Creature — Demon Berserker
22791,Perilous Forays,['G'],Enchantment
22792,Karametra's Blessing,['W'],Instant
22793,Barrage Ogre,['R'],Creature — Ogre Warrior
22794,Dire Wolf Prowler,['G'],Creature — Wolf
22795,Narset's Reversal,['U'],Instant
22796,Arvad the Cursed,"['B', 'W']",Legendary Creature — Vampire Knight
22797,Markov Patrician,['B'],Creature — Vampire
22798,Forest // Forest,[],Card // Card
22799,Dream Twist,['U'],Instant
22800,Umbral Juke,['B'],Instant
22801,"Hidetsugu, Devouring Chaos","['B', 'R']",Legendary Creature — Ogre Demon
22802,Whiptail Moloch,['R'],Creature — Lizard
22803,Pitiless Horde,['B'],Creature — Orc Berserker
22804,Mistfolk,['U'],Creature — Illusion
22805,Fate Foretold,['U'],Enchantment — Aura
22806,"Veyran, Voice of Duality","['R', 'U']",Legendary Creature — Efreet Wizard
22807,Damnation,['B'],Sorcery
22808,Acolyte of Affliction,"['B', 'G']",Creature — Human Cleric
22809,Zada's Commando,['R'],Creature — Goblin Archer Ally
22810,Arcbound Overseer,[],Artifact Creature — Golem
22811,Dragon's Rage Channeler // Dragon's Rage Channeler,[],Card // Card
22812,"Rasaad, Radiant Monk",['W'],Legendary Creature — Human Monk
22813,Hunting Drake,['U'],Creature — Drake
22814,Confiscate,['U'],Enchantment — Aura
22815,Rhystic Deluge,['U'],Enchantment
22816,Demon's Disciple,['B'],Creature — Human Cleric
22817,Riptide Mangler,['U'],Creature — Beast
22818,Bull-Rush Bruiser,['R'],Creature — Minotaur Warrior
22819,Trickster Mage,['U'],Creature — Human Spellshaper
22820,Crimson Fleet Commodore,['R'],Creature — Ogre Pirate
22821,Adarkar Wastes,"['U', 'W']",Land
22822,Spontaneous Generation,['G'],Sorcery
22823,Triskaidekaphobia,['B'],Enchantment
22824,Pattern Matcher,[],Artifact Creature — Golem
22825,Pulse of Murasa,['G'],Instant
22826,Teleportal,"['R', 'U']",Sorcery
22827,Tiger-Tribe Hunter,['R'],Creature — Human Barbarian
22828,Tapping at the Window,['G'],Sorcery
22829,Savor the Moment,['U'],Sorcery
22830,Heir of Falkenrath // Heir to the Night,['B'],Creature — Vampire // Creature — Vampire Berserker
22831,Flicker of Fate,['W'],Instant
22832,Bloodfire Infusion,['R'],Enchantment — Aura
22833,"Gonti, Lord of Luxury",['B'],Legendary Creature — Aetherborn Rogue
22834,Descendant of Masumaro,['G'],Creature — Human Monk
22835,Alhammarret's Archive,[],Legendary Artifact
22836,Xenosquirrels,['B'],Creature — Alien Squirrel
22837,Yavimaya's Embrace,"['G', 'U']",Enchantment — Aura
22838,Saiba Trespassers,['U'],Artifact Creature — Moonfolk Rogue
22839,Expedition Diviner // Expedition Diviner,[],Card // Card
22840,Novice Dissector,['B'],Creature — Troll Warlock
22841,Revenge of the Drowned,['U'],Instant
22842,"Leovold, Emissary of Trest","['B', 'G', 'U']",Legendary Creature — Elf Advisor
22843,Grell Philosopher,['U'],Creature — Horror Wizard
22844,Keldon Firebombers,['R'],Creature — Human Soldier
22845,Katilda's Rising Dawn // Katilda's Rising Dawn,[],Card // Card
22846,Cunning,['U'],Enchantment — Aura
22847,Prophetic Bolt,"['R', 'U']",Instant
22848,Bury in Books,['U'],Instant
22849,Angus Mackenzie,"['G', 'U', 'W']",Legendary Creature — Human Cleric
22850,Orzhov Advokist,['W'],Creature — Human Advisor
22851,Bloodchief Ascension,['B'],Enchantment
22852,Preacher,['W'],Creature — Human Cleric
22853,Mox Sapphire,['U'],Artifact
22854,"Iymrith, Desert Doom",['U'],Legendary Creature — Dragon
22855,Druid of the Sacred Beaker,['G'],Creature — Deer Bird Ape Druid
22856,Woodland Wanderer,['G'],Creature — Elemental
22857,Leonin Bola,[],Artifact — Equipment
22858,Spire Phantasm,['U'],Creature — Gargoyle Illusion
22859,Raiders' Wake,['B'],Enchantment
22860,Noble Steeds,['W'],Enchantment
22861,Grasping Giant,['W'],Creature — Giant
22862,Dreamshackle Geist // Dreamshackle Geist,[],Card // Card
22863,Elves,[],Card
22864,Precipitous Drop,['B'],Enchantment — Aura
22865,Barbed-Back Wurm,['B'],Creature — Wurm
22866,Sword Coast Serpent // Capsizing Wave,['U'],Creature — Serpent Dragon // Instant — Adventure
22867,Roar of Jukai,['G'],Instant — Arcane
22868,Forbidden Friendship,['R'],Sorcery
22869,Pinpoint Avalanche,['R'],Instant
22870,Magic Missile // Magic Missile,[],Card // Card
22871,Decorated Knight // Present Arms,['U'],Creature — Human Knight // Sorcery — Adventure
22872,Cordial Vampire,['B'],Creature — Vampire
22873,Cheatyface,['U'],Creature — Efreet
22874,Wanderer's Strike,['W'],Sorcery
22875,Ogre Resister,['R'],Creature — Ogre
22876,Skyclave Shade // Skyclave Shade,[],Card // Card
22877,Skyclave Basilica // Skyclave Basilica,[],Card // Card
22878,Rootwater Commando,['U'],Creature — Merfolk
22879,Well of Discovery,[],Artifact
22880,Uthden Troll,['R'],Creature — Troll
22881,Skywatcher Adept,['U'],Creature — Merfolk Wizard
22882,Izzet Staticaster,"['R', 'U']",Creature — Human Wizard
22883,Drudge Spell,['B'],Enchantment
22884,Forerunner of the Coalition,['B'],Creature — Human Pirate
22885,Primal Rage,['G'],Enchantment
22886,Inspiring Overseer,['W'],Creature — Angel Cleric
22887,Mirror Sheen,"['R', 'U']",Enchantment
22888,Thunderhawk Gunship,[],Artifact — Vehicle
22889,Carrion Beetles,['B'],Creature — Insect
22890,Trap Essence,"['G', 'R', 'U']",Instant
22891,Spell Pierce,['U'],Instant
22892,Altar of Dementia,[],Artifact
22893,By Invitation Only,['W'],Sorcery
22894,Timely Interference,"['R', 'U']",Instant
22895,Fraternal Exaltation,['U'],Sorcery
22896,"Liliana, Death Mage",['B'],Legendary Planeswalker — Liliana
22897,Fell Specter,['B'],Creature — Specter
22898,Endless Detour,"['G', 'U', 'W']",Instant
22899,Goblin Blastronauts,['R'],Creature — Goblin Employee
22900,Flamekin Harbinger,['R'],Creature — Elemental Shaman
22901,Uncomfortable Chill,['U'],Instant
22902,Soul Reap,['B'],Sorcery
22903,Urborg Syphon-Mage,['B'],Creature — Human Spellshaper
22904,"Zar Ojanen, Scion of Efrava // Zar Ojanen, Scion of Efrava",[],Card // Card
22905,Flame-Blessed Bolt // Flame-Blessed Bolt,[],Card // Card
22906,Rage of Purphoros,['R'],Sorcery
22907,Shield of the Realm,[],Artifact — Equipment
22908,Soul Scourge,['B'],Creature — Nightmare Horror
22909,Eladamri,[],Vanguard
22910,Macabre Mockery,"['B', 'R']",Instant
22911,Flowstone Strike,['R'],Instant
22912,Ramroller,[],Artifact Creature — Juggernaut
22913,Wind Zendikon,['U'],Enchantment — Aura
22914,Wolverine Pack,['G'],Creature — Wolverine
22915,"Zimone, Quandrix Prodigy // Zimone, Quandrix Prodigy",[],Card // Card
22916,Emerald Medallion,[],Artifact
22917,Path to Exile,['W'],Instant
22918,Living Tempest,['U'],Creature — Elemental
22919,Infest,['B'],Sorcery
22920,Dreadbore,"['B', 'R']",Sorcery
22921,Valakut Exploration,['R'],Enchantment
22922,Terra Stomper,['G'],Creature — Beast
22923,Towering Thunderfist,"['R', 'W']",Creature — Giant Soldier
22924,Proposal,['W'],Sorcery
22925,Phytoburst,['G'],Sorcery
22926,Nameless Inversion,['B'],Tribal Instant — Shapeshifter
22927,Plagued Rusalka,['B'],Creature — Spirit
22928,Goblin Locksmith,['R'],Creature — Goblin Rogue
22929,Quicksmith Rebel,['R'],Creature — Human Artificer
22930,Cunning Lethemancer,['B'],Creature — Human Wizard
22931,Do-It-Yourself Seraph,['W'],Artifact Creature — Cyborg Angel
22932,Rout,['W'],Sorcery
22933,Kodama of the West Tree,['G'],Legendary Creature — Spirit
22934,Bearer of Silence,['B'],Creature — Eldrazi
22935,Morinfen,['B'],Legendary Creature — Phyrexian Horror
22936,Avian Oddity,['U'],Creature — Bird
22937,Ruin Raider,['B'],Creature — Orc Pirate
22938,Secure the Scene,['W'],Sorcery
22939,Aretopolis,[],Plane — Kephalai
22940,Kami of Mourning,['B'],Creature — Spirit
22941,Aboleth Spawn,['U'],Creature — Fish Horror
22942,Fires of Victory,"['R', 'U']",Instant
22943,Mask of Memory,[],Artifact — Equipment
22944,Ojutai Monument,"['U', 'W']",Artifact
22945,Araba Mothrider,['W'],Creature — Human Samurai
22946,"Wort, the Raidmother","['G', 'R']",Legendary Creature — Goblin Shaman
22947,Windreaver,"['U', 'W']",Creature — Elemental
22948,Glint-Eye Nephilim,"['B', 'G', 'R', 'U']",Creature — Nephilim
22949,Burrowing,['R'],Enchantment — Aura
22950,Reincarnation,['G'],Instant
22951,Sages of the Anima,"['G', 'U']",Creature — Elf Wizard
22952,Master's Call,['W'],Instant
22953,"Baba Lysaga, Night Witch","['B', 'G']",Legendary Creature — Human Warlock
22954,Rootgrapple,['G'],Tribal Instant — Treefolk
22955,Bonecrusher Giant // Stomp,['R'],Creature — Giant // Instant — Adventure
22956,Abolish,['W'],Instant
22957,Karplusan Yeti,['R'],Creature — Yeti
22958,Great Sable Stag,['G'],Creature — Elk
22959,Filigree Sages,['U'],Artifact Creature — Vedalken Wizard
22960,Rotting Mastodon,['B'],Creature — Zombie Elephant
22961,Typhoid Rats,['B'],Creature — Rat
22962,Blastoderm,['G'],Creature — Beast
22963,Bringer of the White Dawn,"['B', 'G', 'R', 'U', 'W']",Creature — Bringer
22964,Curtain of Light,['W'],Instant
22965,Awesome Presence,['U'],Enchantment — Aura
22966,Kitesail Cleric // Kitesail Cleric,[],Card // Card
22967,Hoisted Hireling,['B'],Creature — Zombie
22968,Knight of the Kitchen Sink,['W'],Artifact Creature — Cyborg Knight
22969,River Serpent,['U'],Creature — Serpent
22970,Abundant Harvest // Abundant Harvest,[],Card // Card
22971,Finale of Promise,['R'],Sorcery
22972,Goblin Lore,['R'],Sorcery
22973,Wind Drake,['U'],Creature — Drake
22974,Schismotivate,"['R', 'U']",Instant
22975,Shipwreck Sifters,['U'],Creature — Spirit
22976,Palladia-Mors,"['G', 'R', 'W']",Legendary Creature — Elder Dragon
22977,Flourishing Hunter,['G'],Creature — Wolf Spirit
22978,Ancient Lumberknot,"['B', 'G']",Creature — Treefolk
22979,Supply // Demand,"['G', 'U', 'W']",Sorcery // Sorcery
22980,Faerie Swarm,['U'],Creature — Faerie
22981,Fool's Demise,['U'],Enchantment — Aura
22982,Nova Cleric,['W'],Creature — Human Cleric
22983,Remand,['U'],Instant
22984,Selhoff Occultist,['U'],Creature — Human Rogue
22985,"Lae'zel, Callous Warrior","['B', 'W']",Legendary Creature — Gith Warrior
22986,Renegade Reaper,['B'],Creature — Angel Berserker
22987,Harbor Guardian,"['U', 'W']",Creature — Gargoyle
22988,Bladestitched Skaab,"['B', 'U']",Creature — Zombie Soldier
22989,Verix Bladewing,['R'],Legendary Creature — Dragon
22990,Plated Wurm,['G'],Creature — Wurm
22991,Tree Monkey,['G'],Creature — Monkey
22992,Fortunate Few,['W'],Sorcery
22993,Thorn Mammoth,['G'],Creature — Elephant
22994,Tidy Conclusion,['B'],Instant
22995,Cosmic Horror,['B'],Creature — Horror
22996,Rose Room Treasurer,['R'],Creature — Ogre Warrior
22997,Ultimate Price,['B'],Instant
22998,Kessig Cagebreakers,['G'],Creature — Human Rogue
22999,Syndicate Recruiter,"['B', 'U']",Creature — Vampire Rogue
23000,Ascent of the Worthy,"['B', 'W']",Enchantment — Saga
23001,Unbridled Growth,['G'],Enchantment — Aura
23002,"Florian, Voldaren Scion","['B', 'R']",Legendary Creature — Vampire Noble
23003,Space Marine Devastator,['W'],Token Creature — Astartes Warrior
23004,Dragonstorm,['R'],Sorcery
23005,Tentative Connection,['R'],Sorcery
23006,Rubblebelt Rioters,"['G', 'R']",Creature — Human Berserker
23007,Intercessor's Arrest,['W'],Enchantment — Aura
23008,Scare Tactics,['B'],Instant
23009,Circle of Protection: Blue,['W'],Enchantment
23010,Night Shift of the Living Dead,['B'],Enchantment
23011,Cyclonic Rift,['U'],Instant
23012,Endling // Endling,[],Card // Card
23013,"Ruxa, Patient Professor",['G'],Legendary Creature — Bear Druid
23014,Soulscour,['W'],Sorcery
23015,Crawling Filth,['B'],Creature — Spirit
23016,Kami's Flare,['R'],Instant
23017,Cleric of Life's Bond,"['B', 'W']",Creature — Vampire Cleric
23018,Clamavus,['G'],Creature — Human Tyranid Artificer
23019,Knife and Death,['B'],Sorcery
23020,Quirion Beastcaller,['G'],Creature — Dryad Warrior
23021,Pharika's Disciple,['G'],Creature — Centaur Warrior
23022,Cover of Darkness,['B'],Enchantment
23023,Staff of Domination,[],Artifact
23024,Neurok Spy,['U'],Creature — Human Rogue
23025,Purphoros's Emissary,['R'],Enchantment Creature — Ox
23026,Diregraf Horde,['B'],Creature — Zombie
23027,Zur the Enchanter,"['B', 'U', 'W']",Legendary Creature — Human Wizard
23028,Instrument of the Bards,['G'],Legendary Artifact
23029,Lofty Denial,['U'],Instant
23030,Sword of the Animist,[],Legendary Artifact — Equipment
23031,Nefarious Lich,['B'],Enchantment
23032,Dawn of Hope,['W'],Enchantment
23033,Queen Marchesa,"['B', 'R', 'W']",Legendary Creature — Human Assassin
23034,Echo Inspector,['U'],Creature — Bird Rogue
23035,"Ral, Caller of Storms","['R', 'U']",Legendary Planeswalker — Ral
23036,Chain of Silence,['W'],Instant
23037,Cinderclasm,['R'],Instant
23038,Village Bell-Ringer,['W'],Creature — Human Scout
23039,Swift Maneuver,['W'],Instant
23040,Questionable Cuisine,['B'],Sorcery
23041,Tendrils of Agony // Tendrils of Agony,[],Card // Card
23042,Crimson Mage,['R'],Creature — Human Shaman
23043,Mystic Meditation,['U'],Sorcery
23044,Seasoned Tactician,['W'],Creature — Human Advisor
23045,Psychatog,"['B', 'U']",Creature — Atog
23046,Illusions of Grandeur,['U'],Enchantment
23047,Molder Slug,['G'],Creature — Slug Beast
23048,Disciple of Phenax,['B'],Creature — Human Cleric
23049,Dark Remedy,['B'],Instant
23050,Ahn-Crop Invader,['R'],Creature — Zombie Minotaur Warrior
23051,Behold the Multiverse,['U'],Instant
23052,Rarity,"['U', 'W']",Legendary Creature — Unicorn
23053,Kami of Terrible Secrets,['B'],Creature — Spirit
23054,Djinn Illuminatus,"['R', 'U']",Creature — Djinn
23055,Noggle Bridgebreaker,"['R', 'U']",Creature — Noggle Rogue
23056,Nimbus Maze,"['U', 'W']",Land
23057,Reckless Rage,['R'],Instant
23058,"Half-Kitten, Half-",['W'],Creature — Cat
23059,Exultant Skymarcher,['W'],Creature — Vampire Soldier
23060,Gabriel Nassif Decklist,[],Card
23061,Waste Away,['B'],Instant
23062,Freyalise's Radiance,['G'],Enchantment
23063,Armorcraft Judge,['G'],Creature — Elf Artificer
23064,Quest for Ancient Secrets,['U'],Enchantment
23065,Clifftop Retreat,"['R', 'W']",Land
23066,Spike Worker,['G'],Creature — Spike
23067,Mycoloth,['G'],Creature — Fungus
23068,Rime Transfusion,['B'],Snow Enchantment — Aura
23069,Oko's Hospitality,"['G', 'U']",Instant
23070,Sangrite Surge,"['G', 'R']",Sorcery
23071,Wildgrowth Walker,['G'],Creature — Elemental
23072,High Priest of Penance,"['B', 'W']",Creature — Human Cleric
23073,Test of Talents,['U'],Instant
23074,Revelsong Horn,[],Artifact
23075,Goblin Sharpshooter,['R'],Creature — Goblin
23076,Sky Scourer,['B'],Creature — Eldrazi Drone
23077,Foul Spirit,['B'],Creature — Spirit
23078,"Daryl, Hunter of Walkers","['G', 'R']",Legendary Creature — Human Archer
23079,Soul of Theros,['W'],Creature — Avatar
23080,Zealous Strike,['W'],Instant
23081,Snow-Covered Swamp,['B'],Basic Snow Land — Swamp
23082,Deadhead,['B'],Creature — Zombie
23083,Giant Teddy Bear,[],Token Creature — Giant Teddy Bear
23084,"Harbin, Vanguard Aviator","['U', 'W']",Legendary Creature — Human Soldier
23085,Sleeper's Robe,"['B', 'U']",Enchantment — Aura
23086,Indentured Oaf,['R'],Creature — Ogre Warrior
23087,A-Steadfast Unicorn,['W'],Creature — Unicorn
23088,Time Out,['U'],Instant
23089,"Razia, Boros Archangel","['R', 'W']",Legendary Creature — Angel
23090,Desperate Gambit,['R'],Instant
23091,Mind Bend,['U'],Instant
23092,Galecaster Colossus,['U'],Creature — Giant Wizard
23093,Liege of the Axe,['W'],Creature — Human Soldier
23094,"Erayo, Soratami Ascendant // Erayo's Essence",['U'],Legendary Creature — Moonfolk Monk // Legendary Enchantment
23095,Harsh Deceiver,['W'],Creature — Spirit
23096,Leechridden Swamp,['B'],Land — Swamp
23097,Tel-Jilad Outrider,['G'],Creature — Elf Warrior
23098,Brilliant Plan,['U'],Sorcery
23099,"Syr Cadian, Knight Owl","['B', 'W']",Legendary Creature — Bird Knight
23100,Relic Axe,[],Artifact — Equipment
23101,Bloodlord of Vaasgoth,['B'],Creature — Vampire Warrior
23102,Truga Jungle,[],Plane — Ergamon
23103,Manticore Eternal,['R'],Creature — Zombie Manticore
23104,"Braids, Cabal Minion",['B'],Legendary Creature — Human Minion
23105,Teach by Example,"['R', 'U']",Instant
23106,"Verazol, the Split Current","['G', 'U']",Legendary Creature — Serpent
23107,Sacred Cat,['W'],Creature — Cat
23108,Sanguine Guard,['B'],Creature — Phyrexian Zombie Knight
23109,Double Cleave,"['R', 'W']",Instant
23110,Crippling Fatigue,['B'],Sorcery
23111,"Sheoldred, the Apocalypse // Sheoldred, the Apocalypse",[],Card // Card
23112,Success!,['W'],Instant
23113,Duskrider Falcon,['W'],Creature — Bird
23114,Brush with Death,['B'],Sorcery
23115,Anvilwrought Raptor,[],Artifact Creature — Bird
23116,Blade Banish,['W'],Instant
23117,Thriving Rhino,['G'],Creature — Rhino
23118,Magus of the Unseen,['U'],Creature — Human Wizard
23119,Mudbrawler Raiders,"['G', 'R']",Creature — Goblin Warrior
23120,Gray Merchant of Alphabet,['B'],Creature — Zombie Performer
23121,Argivian Restoration,['U'],Sorcery
23122,Sky Crier,['W'],Creature — Bird Citizen
23123,Clattering Augur,['B'],Creature — Skeleton Shaman
23124,Time Elemental,['U'],Creature — Elemental
23125,Scavenged Brawler,[],Artifact Creature — Construct
23126,Spare Dagger,[],Artifact — Equipment
23127,Cavalry Drillmaster,['W'],Creature — Human Knight
23128,"Kyodai, Soul of Kamigawa","['B', 'G', 'R', 'U', 'W']",Legendary Creature — Dragon Spirit
23129,Bear with Set's Mechanic,['G'],Creature — Bear
23130,Locthwain Gargoyle,[],Artifact Creature — Gargoyle
23131,Python,['B'],Creature — Snake
23132,Almighty Brushwagg,['G'],Creature — Brushwagg
23133,Galvanic Key,[],Artifact
23134,Firemind Vessel,[],Artifact
23135,"Aron, Benalia's Ruin","['B', 'W']",Legendary Creature — Phyrexian Human
23136,Dromar's Cavern,"['B', 'U', 'W']",Land — Lair
23137,Incriminate,['B'],Sorcery
23138,Skyrider Trainee,['W'],Creature — Human Soldier
23139,Hydroform,"['G', 'U']",Instant
23140,Duskfang Mentor,['B'],Creature — Human Cleric
23141,Kolaghan Monument,"['B', 'R']",Artifact
23142,Rockslide Sorcerer,['R'],Creature — Human Wizard
23143,Manifestation Sage,"['G', 'U']",Creature — Human Wizard
23144,Foreboding Statue // Forsaken Thresher,[],Artifact Creature — Construct // Artifact Creature — Construct
23145,"Jadzi, Oracle of Arcavios // Jadzi, Oracle of Arcavios",[],Card // Card
23146,Grasping Scoundrel,['B'],Creature — Human Pirate
23147,Garth One-Eye,"['B', 'G', 'R', 'U', 'W']",Legendary Creature — Human Wizard
23148,Leviathan,['U'],Creature — Leviathan
23149,Shepherd of the Lost,['W'],Creature — Angel
23150,Tajuru Pathwarden,['G'],Creature — Elf Warrior Ally
23151,Chandra's Regulator,['R'],Legendary Artifact
23152,Supersize,['G'],Instant
23153,Adult Gold Dragon // Adult Gold Dragon,[],Card // Card
23154,Pouncing Lynx,['W'],Creature — Cat
23155,Duskmantle Seer,"['B', 'U']",Creature — Vampire Wizard
23156,Brimstone Trebuchet,['R'],Artifact Creature — Wall
23157,Harnessed Lightning,['R'],Instant
23158,Start from Scratch,['R'],Sorcery — Lesson
23159,Urborg Justice,['B'],Instant
23160,Vivid Crag,['R'],Land
23161,"Faldorn, Dread Wolf Herald","['G', 'R']",Legendary Creature — Human Druid
23162,Calculated Dismissal,['U'],Instant
23163,"Monoxa, Midway Manager","['B', 'R']",Legendary Creature — Vampire Employee
23164,Siege of Towers,['R'],Sorcery
23165,Wave Elemental,['U'],Creature — Elemental
23166,Diminished Returner,['B'],Creature — Phyrexian Skeleton
